,_allow_,MD_VB_DT,CD_IN,SubTrees,Adverb,CD_NNS,_meeting_,Modal,VB_IN,_preferred_,VBP_VBN,TO_DT_NN,NN_NN_CC,IN_CD_NNS,_authorized_,_clinical_,_access_,_interface_,_defensive_,IN_CD,JJ_JJ,_website_,_use_,_conference_,NNS_MD,_cohort_,CD_CD,_application_,_shall_allow_,VB_CC,DT_NN_TO,_product_,Noun,NN_NN_NN,DT_NN,DT_NNS,_record_,MD_VB_IN,VB_JJ,NN_IN_CD,VB_DT_JJ,_shall_include_,VB_NNS,_including_,CD_IN_DT,_player_,_ability_,_limited_,_include_,DT_JJ_JJ,_property_,NNS_MD_VB,_list_,VBN_TO_DT,JJ_IN,VB_JJ_IN,JJR_IN_CD,_sequence_,_new_,NN_TO_VB,NN_TO,VBD_DT,_student_,Verb,MD_RB_VB,Length,_maximum_,JJ_JJ_NNS,_search_,VB_DT_NN,JJ_CD,VBD_DT_NN,NN_IN_NNS,TreeHeight,_substitutionary_,NNS_TO_VB,NNS_IN_JJ,_lab_section_,VB_DT,CC_NNS_TO,VB_RB,NN_VBD_DT,JJ_MD,JJ_TO_VB,Words,CC_PRP_IN,IN_NN_IN,_preferred_repair_,CC_RB,VBZ_VBN,JJ_TO,_affecting_,_ensure_,VB_NN,_clinical_class_,VBG_VBG,VB_IN_DT,PRP_CC_PRP,DT_NNS_VBP,WDT_VBP_VBN,RequirementText,ProjectID,Class,IsQuality,IsFunctional
0,0,1,0,4,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.214285714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,91,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
1,0,0,0,4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.05,0,128,0,1,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,F,1,0
2,0,1,0,5,0.066666667,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.266666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.066666667,0,168,0,0,0,1,0,0,0,16,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,0,1
3,0,1,0,4,0,0,0,0.052631579,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.342105263,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.157894737,0,220,0,0,0,1,0,0,0,16,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,F,0,1
4,0,1,0,5,0,0,0,0.025641026,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.051282051,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.025641026,0,235,0,0,0,1,0,0,0,16,0,0,0,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,F,0,1
5,0,0,0,3,0.076923077,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0,79,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,F,1,1
6,0,1,0,3,0.085714286,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.028571429,0,187,0,0,0,1,0,0,0,16,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,0,1
7,0,0,0,2,0,0,0,0.066666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.266666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,104,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
8,0,1,0,3,0,0,0,0.03030303,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.060606061,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.060606061,0,190,0,0,0,1,0,0,0,17,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,0,1
9,0,1,0,3,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.043478261,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.086956522,0,145,0,0,0,1,0,0,0,13,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,0,1
